               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.1245,              1.1881,              1.8034,              0.6753,             0.75291,              0.7177,             0.54165,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              1.1051,              1.1678,              1.7727,             0.67039,             0.75708,             0.73618,             0.55306,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              1.0877,              1.1384,              1.7755,             0.67465,             0.78277,             0.74244,             0.55802,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              1.0894,              1.1226,              1.7609,             0.68118,             0.78432,             0.75178,             0.56858,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              1.0672,              1.1019,              1.7382,             0.69468,             0.76403,             0.75395,             0.56796,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              1.0485,              1.0758,              1.7369,             0.70472,             0.77073,             0.75735,             0.56748,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              1.0513,              1.0665,              1.7309,             0.69029,             0.77658,             0.74892,             0.56259,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,               1.043,              1.0596,              1.7057,             0.72487,              0.7354,             0.74748,             0.56498,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.0256,              1.0453,              1.7066,             0.73238,              0.7626,             0.76335,             0.57515,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              1.0117,              1.0225,              1.6946,             0.71422,             0.75849,             0.75694,             0.57516,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
